,file_name,num_slices,num_coils,height,width,mr_type
8,file_brain_AXT1_202_2020393.h5,16,16,640,332,AXT1
20,file_brain_AXT1_201_6002704.h5,16,16,640,320,AXT1
26,file_brain_AXT1_202_2020076.h5,16,20,640,320,AXT1
32,file_brain_AXFLAIR_200_6002595.h5,16,16,640,320,AXFLAIR
41,file_brain_AXT1_206_2060066.h5,16,16,640,320,AXT1
49,file_brain_AXFLAIR_210_6001835.h5,16,20,640,320,AXFLAIR
66,file_brain_AXFLAIR_210_6001957.h5,16,16,640,320,AXFLAIR
88,file_brain_AXT1_201_6002809.h5,16,20,640,320,AXT1
94,file_brain_AXT1_202_2020207.h5,14,20,640,320,AXT1
102,file_brain_AXT1_202_2020357.h5,16,12,640,320,AXT1
119,file_brain_AXT1_201_6002856.h5,16,20,640,320,AXT1
140,file_brain_AXFLAIR_209_6001344.h5,16,16,640,320,AXFLAIR
173,file_brain_AXT1_206_2060094.h5,16,20,640,320,AXT1
175,file_brain_AXFLAIR_210_6001912.h5,16,20,640,320,AXFLAIR
213,file_brain_AXT1_202_2020388.h5,16,16,640,320,AXT1
233,file_brain_AXFLAIR_201_6002994.h5,16,20,640,320,AXFLAIR
237,file_brain_AXFLAIR_200_6002510.h5,16,16,640,320,AXFLAIR
245,file_brain_AXFLAIR_210_6001901.h5,16,16,640,320,AXFLAIR
249,file_brain_AXFLAIR_200_6002456.h5,16,16,640,320,AXFLAIR
263,file_brain_AXFLAIR_200_6002469.h5,16,16,640,320,AXFLAIR
274,file_brain_AXFLAIR_201_6003002.h5,16,20,640,320,AXFLAIR
280,file_brain_AXFLAIR_210_6001513.h5,16,16,640,320,AXFLAIR
284,file_brain_AXFLAIR_201_6002987.h5,16,16,640,320,AXFLAIR
333,file_brain_AXFLAIR_210_6001889.h5,16,16,640,320,AXFLAIR
340,file_brain_AXT1_201_6002697.h5,16,20,640,320,AXT1
344,file_brain_AXFLAIR_210_6001925.h5,16,16,640,320,AXFLAIR
348,file_brain_AXFLAIR_209_6001386.h5,16,16,640,320,AXFLAIR
358,file_brain_AXFLAIR_209_6001402.h5,16,12,640,320,AXFLAIR
359,file_brain_AXFLAIR_201_6003017.h5,16,2,640,320,AXFLAIR
369,file_brain_AXT1_202_2020184.h5,16,16,640,320,AXT1
387,file_brain_AXFLAIR_209_6001377.h5,16,14,640,320,AXFLAIR
393,file_brain_AXFLAIR_201_6002972.h5,16,20,640,320,AXFLAIR
396,file_brain_AXT1_202_2020014.h5,16,20,640,320,AXT1
397,file_brain_AXT1_201_6002757.h5,16,12,640,320,AXT1
417,file_brain_AXT1_202_2020521.h5,16,20,640,320,AXT1
428,file_brain_AXFLAIR_201_6002876.h5,16,20,640,320,AXFLAIR
429,file_brain_AXFLAIR_200_6002549.h5,16,20,640,320,AXFLAIR
447,file_brain_AXT1_202_2020478.h5,16,20,640,320,AXT1
450,file_brain_AXT1_202_2020336.h5,16,16,640,320,AXT1
459,file_brain_AXT1_202_2020359.h5,16,16,640,320,AXT1
485,file_brain_AXT1_202_2020460.h5,16,20,640,320,AXT1
486,file_brain_AXFLAIR_201_6002964.h5,16,16,640,320,AXFLAIR
497,file_brain_AXT1_202_2020523.h5,16,20,640,320,AXT1
500,file_brain_AXT1_202_2020345.h5,16,20,640,320,AXT1
507,file_brain_AXT1_202_2020486.h5,14,20,640,320,AXT1
519,file_brain_AXT1_202_2020209.h5,16,20,640,320,AXT1
522,file_brain_AXT1_206_2060060.h5,16,16,640,320,AXT1
554,file_brain_AXFLAIR_210_6001955.h5,16,20,640,320,AXFLAIR
