0,1,2,3
16,5,640,322
16,20,640,320
16,16,640,320
16,16,768,396
16,4,640,320
16,14,768,396
16,20,640,320
16,4,640,320
16,20,768,396
16,16,640,320
16,16,640,320
16,12,768,396
16,12,768,396
14,14,768,396
16,4,640,320
16,16,768,396
16,16,640,320
16,4,512,213
16,14,768,396
16,20,768,396
16,16,640,320
16,4,640,320
16,4,640,320
16,20,768,396
16,16,640,320
16,20,640,320
16,14,640,320
16,16,640,320
16,16,640,320
16,20,768,396
16,16,640,320
16,4,640,320
16,4,640,320
14,20,640,320
16,16,640,320
16,4,640,320
16,16,640,320
16,16,640,320
16,12,768,396
16,20,640,320
16,10,640,320
16,4,640,322
16,16,768,396
14,20,640,320
16,20,768,396
16,16,768,396
16,4,640,320
14,4,640,320
16,4,640,320
16,20,640,320
16,20,768,396
16,12,640,320
16,16,640,320
14,6,640,320
16,20,768,396
16,4,640,322
16,6,640,320
16,14,640,320
16,20,768,396
16,16,768,396
16,14,768,396
16,20,640,320
16,20,768,396
16,14,768,396
16,4,640,322
16,4,640,320
16,4,640,322
16,16,640,320
16,20,768,396
16,12,768,396
16,4,768,392
16,20,768,396
16,12,768,396
16,12,768,396
16,4,640,320
16,4,640,322
14,20,640,272
16,16,640,320
16,4,640,322
16,16,640,320
16,14,640,320
16,4,640,320
16,14,768,396
16,4,640,322
16,20,640,320
16,16,640,264
16,20,640,272
16,16,768,396
16,14,768,396
16,4,640,320
16,4,768,392
16,16,640,320
16,20,768,396
16,20,768,396
16,4,640,322
14,20,640,320
16,5,640,320
16,16,640,320
16,4,768,392
16,20,640,320
16,4,640,322
14,16,640,320
16,12,640,320
16,4,640,320
14,20,768,396
16,4,640,320
16,16,640,320
16,4,640,320
16,16,768,396
16,16,768,396
16,16,768,396
16,6,640,320
16,4,640,322
16,20,640,320
16,4,640,320
16,14,768,396
16,4,640,320
16,4,640,322
16,16,768,396
16,16,640,320
16,20,768,396
16,16,640,320
16,16,640,320
16,16,640,320
14,4,640,320
16,4,768,392
16,4,640,320
16,20,640,320
16,20,768,396
16,20,768,396
16,16,640,320
16,12,768,396
16,16,640,320
16,16,640,320
12,4,640,320
16,20,640,320
16,14,640,320
16,4,640,322
16,16,768,396
16,20,640,320
14,14,768,396
16,16,640,320
16,16,640,320
16,16,640,320
16,4,640,320
16,20,640,320
16,4,768,392
16,4,640,322
16,16,640,320
16,14,768,396
16,16,768,396
16,16,640,320
16,14,640,320
16,20,640,320
16,16,768,396
16,16,768,396
16,20,640,320
16,20,640,320
16,16,640,320
16,16,640,274
16,20,640,274
14,20,768,396
16,16,640,320
16,4,640,320
16,4,640,320
16,16,768,396
16,20,640,320
16,16,768,396
16,20,640,320
16,20,768,396
16,20,640,320
16,4,640,320
16,16,640,320
16,20,768,396
16,6,640,320
16,4,640,320
16,16,640,320
16,4,640,320
16,20,640,320
16,4,640,320
16,4,640,322
16,20,768,396
16,20,640,320
16,16,768,396
16,14,768,396
16,14,768,396
16,4,640,320
16,4,640,320
16,20,768,396
16,14,768,396
16,16,640,320
16,16,640,320
16,4,768,392
16,16,640,320
16,4,640,320
16,16,768,396
16,16,768,396
16,16,640,320
16,14,768,396
16,4,640,322
14,20,640,320
16,16,640,320
16,14,640,320
16,16,640,320
16,20,640,320
16,4,640,320
16,16,640,320
16,20,640,320
16,20,640,320
14,20,640,320
16,4,768,392
16,16,640,260
16,4,640,322
16,20,640,320
16,20,768,396
16,16,640,320
16,20,768,396
16,20,768,396
16,14,768,396
16,4,640,322
16,20,768,396
14,4,640,322
16,20,640,320
16,6,640,320
16,4,640,322
16,4,640,320
16,20,768,396
16,4,640,320
16,16,640,320
16,4,512,213
16,20,768,396
16,4,640,322
16,4,640,322
16,16,640,320
16,20,768,396
16,20,768,396
16,16,640,320
16,16,768,396
16,4,640,320
14,16,640,320
16,14,768,396
16,20,640,320
16,16,640,320
16,16,768,396
16,4,640,320
16,16,768,396
16,16,640,320
14,4,640,320
16,16,768,396
16,16,768,396
16,20,640,320
16,4,640,320
16,4,640,320
16,20,640,272
16,16,640,320
16,16,768,396
16,20,768,396
16,4,640,320
16,12,768,396
14,2,640,320
16,4,640,320
16,12,768,396
16,16,640,272
16,16,640,320
16,20,640,320
16,16,768,396
16,4,640,320
16,16,768,396
16,20,768,396
16,6,640,320
16,16,640,320
16,20,640,320
16,14,768,396
16,20,640,320
16,4,640,320
16,16,768,396
16,4,640,260
16,16,768,396
16,4,640,320
16,4,640,322
16,20,640,264
16,16,640,320
16,4,768,392
16,4,640,320
16,4,768,392
